,Unnamed: 0,Album,Type of Album,Year of Release,Title,Duration(minutes:seconds),Lyrics,Positive,Negative,Neutral,Compound
27,27,Millennium,Studio albums,1999-05-18 00:00:00,It's Gotta Be You,02:57:00,"Baby, it's the way you make me
Kinda get me go crazy
Never wanna stop
It's gotta be you
(Uh huh, uh huh, yeah)

I can't control it anymore
I've never felt like this before
Mmm, you really make me lose my head
My hungry heart must be fed
(Uh huh, uh huh)

Baby it's the way you make me
Kinda get me go crazy
Never wanna stop

It's gotta be you
(Uh huh, uh huh)
All the way
It's gotta be you
(Uh huh, uh huh)
Everyday
I promise you I will be true, yeah
It's only you

Now I know why I was born
You feel my feelings one by one
Can't see the world I'm walkin' through
'Cause baby I see only you, oh yeah

Baby it's the way you make me
Kinda get me go crazy
Never wanna stop

It's gotta be you
(Uh huh, uh huh)
All the way
It's gotta be you
(Uh huh, uh huh)
Everyday
I promise you I will be true, yeah
It's only you

It's the way you
(Yeah, that's right)
Kinda get me go crazy
(Hah come on)
Baby, it's the way you make me
Kinda get me go crazy
(It's gotta be you)
Never wanna stop

And you know
I can't see the world I'm walkin' through
'Cause of you, yeah

It's gotta be you, all the way
(All the way)
All that I ever wanted
(Yeah ah)
It's gotta be you, I will be true, yeah
It's only you
(It's gotta be you)

It's gotta be you
(I want it baby)
All the way
It's gotta be you
(And I want it now)
All that I ever wanted
It's gotta be you
(It's you I wanted baby)
It's gotta be you, I will be true
It's only you
(It's got to be, it's got to be you, baby)
You say that's it only you
(Ooh yeah)
Uh huh, uh huh, uh huh, uh huh
I promise you I will be true, yeah
It's only you",12.5,4.8,82.7,96.47
28,28,Millennium,Studio albums,1999-05-18 00:00:00,I Need You Tonight,04:23:00,"Open up your heart to me
It say what's on your mind (oh yes)
I know we have been to so much pain,
But I still need you in my life this time...

And I need you tonight
I need you right now
I know deep within my heart
It doesn't matter if it's wrong or right
I really need you tonight

I figured out what to say to you (mmm..)
Sometimes the word, they, they come out so wrong (oh, yes they do)
And I know in time that you will understand
Then what we have is so right this time...

And I need you tonight
I need you right now
I know deep within my heart
It doesn't matter if it's wrong or right

All those endless times we tried to make it last forever more
And baby I know

I need you (oh oh... yeah..)
I know deep within my heart
It doesn't matter if it's wrong or right
I really need you, oh... oh...

I need you tonight (I need you, I need you baby)
I need you right now (It's gotta be baby2x)
I know deep within my heart
No, it doesn't matter if it's wrong or it's right
All I know is baby
I really need you, tonight.
Oh...",1.8,14,84.2,-97.3
29,29,Millennium,Studio albums,1999-05-18 00:00:00,Don't Want You Back,03:26:00,"Don't... don't want you back

You hit me faster than a shark attack
You saw my picture
On the Backstreet's Back, all right
And you were more than just a pretty face
But how you fooled me, I'm still amazed babe

But I should have known that I would be
Another victim of your sexuality
But now we're done and over with
Don't... don't want you back

Don't want you back
'Cause you're no good for me
I know
That's all I can say
Don't want you back
Forgive my honesty but you gotta go
I, I don't want you back

You started going out with so-called friends
But I was blind and so I lost all common sense
But there were things that made me realize (realize)
Like all the hundred no, thousand lies

Don't want you back
'Cause you're no good for me
I know
That's all I can say
Don't want you back
Forgive my honesty but you gotta go
I, I don't want you back

(Back a no no!)
I, I don't want you back

That's right

Baby, don't bother telling me your reasons why
Just let us sing this story 'bout you and I
Don't want you back
That's all I know
Don't want you back
All I can say
Don't want you back
You know you gotta go

Don't want you back
'Cause you're no good for me
I know (don't want you back x2)
That's all I can say
Don't want you back
Forgive my honesty but you gotta go
I, I don't want you back",22.7,10.8,66.5,97.56
30,30,Millennium,Studio albums,1999-05-18 00:00:00,Don't Wanna Lose You Now,03:55:00,"I never thought that I would lose my mind
That I could control this
Never thought that I'd be left behind
That I was stronger than you, baby
Girl if only I knew what I've done
You know, so why don't you tell me
And I, I would bring down the moon and the sun
To show how much I care

Don't wanna lose you now
Baby, I know we can win this
Don't wanna lose you now
No no, or ever again

I've got this feeling you're not gonna stay
It's burning within me
The fear of losing
Of slipping away
It just keeps getting closer, baby
Whatever reason to leave that I've had
My place was always beside you
And I wish that I didn't need you so bad
Your face just won't go away

Don't wanna lose you now
Baby, I know we can win this
Don't wanna lose you now
No no, or ever again

I never thought that I would lose my mind
That I could control this
Never thought that I'd be left behind
That I was stronger than you
Don't want to lose to loneliness
Girl I know we can win
Don't want to lose to emptiness, oh no
Never again

Don't wanna lose you now
Baby, I know we can win this
Don't wanna lose you now
No no, or ever again",10.4,23.1,66.6,-97.79
31,31,Millennium,Studio albums,1999-05-18 00:00:00,The One,03:46:00,"I'll be the one 

I guess you were lost when I met you
Still there were tears in your eyes
So out of trust and I knew
No more them mysteries and lies

There you were, wild and free
Reachin' out like you needed me
The helping hand to make it right
I am holding you all through the night

I'll be the one (I'll be the one)
Who will make all your sorrows undone
I'll be the light (I'll be the light)
When you feel like there's nowhere to run
I'll be the one

To hold you 
And make sure that you'll be alright
'Cause my fear is gone
And I want to take you from darkness to light

There you were, wild and free
Reachin' out like you needed me
A helping hand to make it right
I am holding you all through the night

I'll be the one (I'll be the one)
Who will make all your sorrows undone
I'll be the light (I'll be the light)
When you feel like there's nowhere to run
I'll be the one

To hold you
And make sure that you'll be alright

You need me like I need you
We can share our dreams comin' true
I can show you what true love means
Just take my hand, begging please

I'll be the one, I'll be the light
Where you can run to make it alright
I'll be the one, I'll be the light
Where you can run

I'll be the one (I'll be the one)
Who will make all your sorrows undone
I'll be the light (I'll be the light)
When you feel like there's nowhere to run
I'll be the one

I'll be the one, I'll be the light
Where you can run to make it alright
I'll be the one, I'll be the light
Where you can run to make it alright
I'll be the one 
To hold you
And make sure that you'll be alright
I'll be the one",19.9,5.8,74.3,99.32
32,32,Millennium,Studio albums,1999-05-18 00:00:00,Back to Your Heart,04:21:00,"It's not that I can't live without you
It's just that I don't even want to try
Every night I dream about you
Ever since the day we said goodbye
If I wasn't such a fool
Right now I'd be holding you
There's nothin' that I wouldn't do
Baby if I only knew

The words to say
The road to take
To find a way back to your heart
What can I do
To get to you
And find a way back to your heart

I don't know how it got so crazy
But I'll do anything to set things right
'Cause your love is so amazing
Baby you're the best thing in my life
Let me prove my love is real
And make you feel the way I feel
I promise I would give the world
If only you would tell me girl

The words to say
The road to take
To find a way back to your heart
What can I do
To get to you
And find a way back to your heart

Give me one more chance, to give my love to you
'Cause no one on this earth loves you like I do,
Tell me

The words to say
The road to take
To find a way back to your heart
What can I do
To get to you
And find a way back to your heart

I turn back time
To make you mine
And find a way back to your heart
I beg and plead
Fall to my knees
To find a way back to your heart

(Background)
These Arms of mine
Are open wide
From now until the end of time
You are my world what can I do?
This heart of mine belongs to you

The words to say
The road to take
To find a way back to your heart
What can I do
To get to you
And find a way back to your heart",13.8,1.8,84.4,99.29
33,33,Millennium,Studio albums,1999-05-18 00:00:00,Spanish Eyes,03:55:00,"Here we are in the arms of one another
And we still go on searching for each other
Knowing that hate is wrong and love is right
For us tonight

When I look into your Spanish eyes
I know the reason why I am alive
And the world is so beautiful tonight

It's a place I've never been
And it comes from deep within
And it's telling me that I'm about to win first prize
Knowing all I have to do
Is reach out my hand to you
Anytime I want to look into your Spanish eyes

Let it be if we're nothing more than dreamers
Who believe that we see no wall between us
How can they be in my heart and in my mind,
When all I could find

When I look into your Spanish eyes
I know the reason why I am alive
And the world is so beautiful tonight

It's a place I've never been
And it comes from deep within
And it's telling me that I'm about to win first prize
Knowing all I have to do
Is reach out my hand to you
Anytime I want to look into your Spanish eyes

I loved you from a distant star
I couldn't reach that far
I can't believe how close that we are
When I look into your Spanish eyes
And the world is so beautiful tonight

It's a place I've never been
And it comes from deep within
And it's telling me that I'm about to win first prize
Knowing all I have to do
Is reach out my hand to you
Anytime I want to look into your Spanish eyes",22,2.9,75,99.5
34,34,Millennium,Studio albums,1999-05-18 00:00:00,No One Else Comes Close,03:43:00,"When we turn out the lights
The two of us alone together
Something's just not right
But girl you know that I would never
Ever let another's touch, come between
The two of us

'Cause no one else will ever take your place

No one else comes close to you
No one makes me feel the way you do
You're so special girl to me
And you'll always be eternally
Every time I hold you near
You always say the words I love to hear
Girl with just a touch you can do so much
No one else comes close

And when I wake up to
The touch of your head on my shoulder
You're my dream come true, oh yeah
Girl you know I'll always treasure
Every kiss and everyday I love you girl in
Every way
And I always will, 'cause in my eyes

No one else comes close to you
No one makes me feel the way you do
You're so special girl to me
And you'll always be eternally
Every time I hold you near
You always say the words I love to hear
Girl with just a touch you can do so much
No one else comes close

No one else comes close to you
No one makes me feel the way you do
You're so special girl to me
And you'll always be eternally
Every time I hold you near
You always say the words I love to hear
Girl with just a touch you can do so much
No one else comes close

Damn I love you",18.5,10.4,71,98.79
35,35,Millennium,Studio albums,1999-05-18 00:00:00,The Perfect Fan,04:15:00,"It takes a lot to know what is love
It's not the big things, but the little things
That can mean enough
A lot of prayers to get me through
And there is never a day that passes by
I don't think of you
You were always there for me
Pushing me and guiding me
Always to succeed

You showed me
When I was young just how to grow
You showed me
Everything that I should know
You showed me
Just how to walk without your hands
'Cause mom you always were
The perfect fan

God has been so good
Blessing me with a family
Who did all they could
And I've had many years of grace
And it flatters me when I see a smile on your face
I wanna thank you for what you've done
In hopes I can give back to you
And be the perfect son

You showed me
When I was young just how to grow
You showed me
Everything that I should know
You showed me
Just how to walk without your hands
'Cause mom you always were
The perfect fan

You showed me how to love
You showed me how to care
And you showed me that you would
Always be there
I wanna thank you for that time
And I'm proud to say you're mine

You showed me
When I was young just how to grow
You showed me
Everything that I should know
You showed me
Just how to walk without your hands
'Cause mom you always were
The perfect fan

'Cause mom you always were,
Mom you always were
Mom you always were,
You know you always were'
Cause mom you always were... the perfect fan

I love you mom",27.7,0,72.3,99.85
36,36,Black & Blue,Studio albums,2000-11-21 00:00:00,The Call,03:24:00,"""Hello?""
""Hi, it's me, what's up baby? I'm sorry, listen, I'm gonna be late tonight, so don't stay up and wait for me, okay?""
""Where are you?""
""Wait, wait, say that again?""
""Hello?""
""You're really droppin' out, I think my battery must be low. Listen, if you can hear me, we're goin' to a place nearby, alright? Gotta go!""

Let me tell you the story 'bout the call that changed my destiny
Me and my boys went out, just to end up in misery
Was about to go home when there she was standing in front of me
And said, ""Hi, I got a little place nearby, wanna go?""
I should have said, ""No, someone's waiting for me...""
But I called my girl up and said

""Listen baby, I'm sorry
Just wanna tell you don't worry
I will be late, don't stay up and wait for me
Say again? You're dropping out
My battery is low
Just so you know, we're goin' to a place nearby
Gotta go!""

Now two years done, nothing's been won
I can't take it back, what's done is done
One of her friends found out that she wasn't my only one
And it eats me from inside, that she's not by my side
Just because I made that call and lied

""Listen baby, I'm sorry
Just wanna tell you don't worry
I will be late, don't stay up and wait for me
Say again? You're dropping out
My battery is low
Just so you know, we're goin' to a place nearby
Gotta go!""

Listen, baby, baby I'm sorry (""Hello...?"")
Listen, baby, baby I'm sorry (""Hello...?"")
Gotta go...

Let me tell you the story 'bout the call that changed my destiny
Me and my boys went out, just to end up in misery
Was about to go home when there she was standing in front of me
And said, ""Hi, I got a little place nearby""
Gotta go...!

""Listen baby, I'm sorry
Just wanna tell you don't worry
I will be late, don't stay up and wait for me
Say again? You're dropping out
My battery is low
Just so you know, we're goin' to a place nearby
Gotta go!""

""Listen baby, I'm sorry
Just wanna tell you don't worry
I will be late, don't stay up and wait for me
Say again? You're dropping out
My battery is low
Just so you know, we're goin' to a place nearby
We're goin' to a place nearby
Gotta go!""",5.4,8.1,86.5,-69.96
37,37,Black & Blue,Studio albums,2000-11-21 00:00:00,Shape of My Heart,03:50:00,"Hmm, yeah yeah
Baby, please try to forgive me
Stay here, don't put out the glow
Hold me now, don't bother 
If every minute it makes me weaker
You can save me 
From the man that I've because, oh yeah

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of my heart

Sadness is beautiful
Loneliness is tragical
So, help me 
I can't win this war, oh no
Touch me now, don't bother 
If every second it makes me weaker
You can save me
From the man I've because, oh

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of my heart

I'm here with my confession
Got nothing to hide no more
I don't know where to start
But to show you the shape of my heart

I'm lookin' back on things I've done
I never wanna play the same old part
I'll keep you in the dark
Now let me show you the shape of my heart

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape, the shape of my heart

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of
Show you the shape of my heart",10.9,6.9,82.2,80.6
38,38,Black & Blue,Studio albums,2000-11-21 00:00:00,Get Another Boyfriend,03:05:00,"Backstreet ...check it

Let's talk about one baby
You gotta hear me out
Do you really wanna be the last to know
What it's all about?
Let's talk about two, you say
He's the essence of your life
But he'll eat you up from inside slow
And then he doesn't wanna know

I'm tellin' you he'll eat you up from inside
And then he doesn't wanna know

Listen, I mean it
There's nothing that he's worthy of
Just another playa', playing in the name of love
I've seen enough, now this must come to an end
Get another Boyfriend

Let's talk about what he's done
To become your number one
Was it all the promises of diamonds, pearls and party dresses that turned you on?
I've seen it before, (don't take) anymore
Three, two you're through for sure
Just go get on with your life
Stop acting like you've given up

I'm telling you, go get on with your life
Stop acting like you're givin' up

Listen, I mean it
There's nothing that he's worthy of
Just another playa', playing in the name of love
I've seen enough, now this must come to an end
Get another Boyfriend

""Why?"" ""Get another Boyfriend""

Hear me out
You must know
What it's all about, baby
That he's just a player in love
This must come to an end
Get another boyfriend

Listen, I mean it
There's nothing that he's worthy of
Just another playa', playing in the name of love
I've seen enough, now this must come to an end
Get another Boyfriend

Listen, I mean it
There's nothing that he's worthy of
Just another playa', playing in the name of love
I've seen enough, now this must come to an end
Get another Boyfriend

Get... another boyfriend",16.3,5.2,78.4,99.13
39,39,Black & Blue,Studio albums,2000-11-21 00:00:00,Shining Star,03:22:00,"You're my shining star
That is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby

Baby, when you do the things you do
I wanna be close to you
'Cause I need to feel your every move, oh
Baby you can never say how much
I need your touch, I can't get enough
'Cause you know what to do to turn me on

You're my shining star
That is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby

Baby, you're as close as close can get
And baby you know I let
Every single part of me be yours, ooh yeah
It doesn't matter if the phone might ring
'Cause I won't hear a thing when I'm in your arms
'Cause you know what to do to turn me on

You're my shining star
That is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby

I've never been so satisfied
With anything in my entire life
'Cause you were doing everything so right
Oh, oh baby
I've never been so satisfied
With anything in my entire life
'Cause you were doing everything so right
Oh, oh baby

You're my shining star
That is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby

You know that I adore you
Wanna be there everyday for you
To satisfy your every needs my baby, baby
You know that I adore you
Wanna be there everyday for you
To satisfy your every needs my baby, baby

You're my shining star
That is what you are
There is no one like you baby
Angels everywhere
Everytime you're near
You will always be my baby",10.4,3.6,86,97.52
40,40,Black & Blue,Studio albums,2000-11-21 00:00:00,I Promise You (with Everything I Am),04:23:00,"It's in the silences
The words you never say
I see it in your eyes
Always starts the same way
It seems like everyone we know
Is breakin' up
Hmm, does anybody ever stay in love... anymore?

I promise you
From the bottom of my heart
I will love you till death do us part
I promise you
As a lover and a friend
I will (ooh) love you like I never love again
With everything I am

Ooh
I see you look at me
When you think I'm not aware
You're searching for clues
Of just how deep my feelings are
How do you prove the sky is blue, the oceans wide
All I know is what I feel
When I look into your eyes

I promise you (I promise you)
From the bottom of my heart
(From the bottom of my heart babay)
I will love you till death do us part
(I do my darlin', I promise yeah)
I promise you (I promise you)
As a lover and a friend
I will (ooh) love you like I never loved again
With everything that I am
Ooh yeah

Oh there are no guarantees
That's what you always say to me (mmm)
But late at night I feel the tremble in your touch, baby
(Oh yeah)
Oh And what I'm trying to say to you
I never said to anyone I promise (oh no)

I promise (Promise) you (you you you)
From the bottom of my heart
(From the bottom of my heart)
I will love you till death do us part
(Oh)
(Do you darlin' I promise you yeah)
I promise you
As a lover and a friend
(As a lover and a friend)
I will lover you like I never love again
With everything I am

I promise you
(With everything I am)
From the bottom of my heart
(From the bottom of my heart)
I will love you till death (love you) do us part
(I love you, I love you, I love you, I love you)
(This is promise you, babe)
I promise you
As a lover and a friend
I will love you like I never love again
With everything I am

You're everything I am
Oh yeah
(Doo...)
With everything I am",33.7,4.9,61.4,99.91
41,41,Black & Blue,Studio albums,2000-11-21 00:00:00,The Answer to Our Life,03:18:00,"You see me sitting here
A smile upon my face
The time has come, but you know that it's not too late
There's been to many things
Together we have seen
It's not that hard if we start to believe
And we're not gonna take anymore
Can we try to erase all the pain
So please

Show me a reason, give me a sign
Tell me the way we fall out of line
Is it today or is it tonight we'll find
The answer to our life

This world is not at ease
We seem to hide the truth
Thinking there's only so much we can really do
It's up to you and me
To face our destiny
The jury's here, so let's take the stand
And we're not gonna take anymore
Can we try to erase all the pain
So please

Show me a reason, give me a sign
Tell me the way we fall out of line
Is it today or is it tonight we'll find
The answer to our life

So tell me why we have to cry (and not try)
When there's so many things we can do
To help this troubled world start a new

I need a reason, I need a sign
There's no turning back, I'm here by your side
Is it today or maybe tonight, we'll find
The answer to our life

Show me the way
Give me a sign
Tell me the way we fall out of line
Is it today, is it tonight
The answer to our life

Show me a reason, give me a sign
Tell me the way we fall out of line
Is it today or is it tonight we'll find
The answer to our life

Show me a reason, give me a sign
Tell me the way we fall out of line
Is it today or is it tonight we'll find
The answer to our life",5.3,7.6,87.2,-86.4
42,42,Black & Blue,Studio albums,2000-11-21 00:00:00,Everyone,03:30:00,"We've been through days of thunder
Some people said we don't belong
They try to pull us under
But here we stand together and were millions strong

Let's get on with the show (let's get started)
Turn the lights down low (turn the lights down low)
You were there from the start (you were there)
We know who you are

And this one goes out to

Everyone, yeah, everyone, everyone
So this one goes out to you
Everyone
We're standing strong
'Cause of what you've done
And this one goes out to you

We've been inside the circus
We took the pleasure with the pain
I guess there's something about us
Whatever comes around we'll always stay the same, oh yeah

Let's get on with the show (oh, let's get started)
Turn the lights down low (turn the lights down low)
You were there from the start (you were there)
We know who you are
We know who you are

Everyone, yeah, everyone, everyone
So this one goes out to you
Everyone
We're standing strong
'Cause of what you've done
And this one goes out to you

Now we're minutes away
'Til it's time to play
Our heartbeats are rising, they're letting you in
Time for the show to begin

We, we're standing strong 'cause of what you've done
This one goes out to you, you, you
You make us feel like we've just begun
And this one goes out to you

Everyone, yeah, everyone, everyone
So this one goes out to you
Everyone
We're standing strong
'Cause of what you've done
And this one goes out to you

Everyone, yeah, everyone, everyone
So this one goes out to you
Everyone
We're standing strong
'Cause of what you've done
And this one goes out to you",15.3,2.9,81.8,99.25
43,43,Black & Blue,Studio albums,2000-11-21 00:00:00,More than That,03:44:00,"I can see that you've been crying
You can't hide it with a lie
What's the use in you denying?
That what you have is wrong
I heard him promise you forever
But forever's come and gone
Baby, he would say whatever
It takes to keep you blind
To the truth between the lines

Oh, I will love you more than that
I won't say the words then take them back
Don't give loneliness a chance
Baby, listen to me when I say
I will love you more than that

Baby, you deserve much better
What's the use in holding on?
Don't you see it's now or never?
'Cause I just can't be friends
Baby, knowing in the end 

And I will love you more than that
I won't say the words then take them back
Don't give loneliness a chance
Baby, listen to me when I say

Hey, there's not a day that passes by
I don't wonder why we haven't tried
It's not too late to change your mind
So take my hand, don't say goodbye

I will love you more than that
I won't say the words then take them back
Oh, I will love you more than that
I won't say the words then take them back
Don't give loneliness a chance
Baby, listen to me when I say
I will love you

Oh, I will love you more than that
I won't say the words then take them back
Don't give loneliness a chance
Baby, listen to me when I say
I will love you more than that",24.1,6.9,69,99.62
44,44,Black & Blue,Studio albums,2000-11-21 00:00:00,Time,03:55:00,"I know that I, I can't believe
Just what the past has brought me
To the man I wanna be
And I know that we have had some times
That we can't forget the struggle
'Cause we have so far to go
I know we have changed but,
Change can be so good
So let's not forget why it's understood that

Time
Look where we are
And what we've been through
Time
Sharin' our dreams (sharin' little, little life with you)
Time (goes on) goes on and on everyday, baby
Time is what it is come what may

I remember when mom used to say
That things are getting better
And you'll soon be on your way
Remember those days, that we would sing at
The drop of a dime
Way back when nothing else mattered
Oh, I know we've changed but,
Change can be so good
Oh, so let's not forget why it's understood that

Time
Look where we are
And what we've been through
Time
Sharin' our dreams (sharin' little, little life with you)
Time (goes on) goes on and on everyday, baby
Time is what it is come what may

So here we are
And we'll always stay together
And through it all you know
We owe it all to you, you, you and you
(Time goes on, never stops, it keeps on)

Time
Look where we are
And what we've been through
Time
Sharin' our dreams (sharin' little, little life with you)
Time (goes on) goes on and on everyday, baby
Time is what it is come what may

Time
Look where we are
And what we've been through
Time
Sharin' our dreams (sharin' little, little life with you)
Time (goes on) goes on and on everyday, baby
Time is what it is come what may

Time goes on and on everyday
Time is what it is
Come what may
Come what may...",11,0.8,88.3,98.62
45,45,Black & Blue,Studio albums,2000-11-21 00:00:00,Not for Me,03:15:00,"I was looking for something
On a crime scene where you're in too deep
I found a note with his number
It's just another clue (that leads to you)
I got a little suspicious, I got a feeling
That you ain't true to me
I should have known better than to buy your lies (your sweet disguise)
You can fool anyone but I've got eyes to see
That you're not for me, babe

No no uh uh
Things will never be the same again with you
No no uh uh
And now I know what it's coming to
No no uh uh
'Cause if you think that it's the way that love should be
Let me tell you it's not for me

I don't wanna be part of your screenplay
Just tell me did you rehearse on me?
Just give me the story
Baby who's to win? Me or him?
Caught in the middle
And I'm tired of your games of Hide and Seek
I'm getting the feeling that it's time for me to leave

You can fool anyone but I've got eyes to see
That you're not for me, baby

No no uh uh (yeah yeah)
Things will never be the same again with you
No no uh uh (Oh)
And now I know what it's coming to
No no uh uh (yeah-eah)
'Cause if you think that it's the way that love, should be
Let me tell you it's not for me

Yeah, yeah
I said no, no
No way
No no, no no
No

I had enough of your talk, your games
And it won't go away (won't go away)
Justify my reasons to say (say... reasons to say)

No no uh uh
Let me hear you say No no
No no uh uh
No no, let me tell you it's not for me
I said No no
No no uh uh
'Cause if you think that it's the way that love should be
Well let me tell you it's not for me

No no uh uh (whoo)
Things will never be the same again with you
No no uh uh (baby)
And now I know what it's coming to
No no uh uh
'Cause if you think that it's the way that love, should be

Well let me tell you it's not for me",9.1,26.8,64.2,-99.71
46,46,Black & Blue,Studio albums,2000-11-21 00:00:00,Yes I Will,03:50:00,"Yeah, yeah, yeah...
Oh...

I open my eyes, I see your face
I cannot hide, I can't erase
The way you make me feel inside
You complete me girl, that's why
Something about you makes me feel
Baby, my heart wants to reveal
I'm down on my knees, I'm askin' you
Say these three words I wanna hear from you

Yes I will
Take your hand and walk with you
Yes I will
Say these three words that promise to
Yes I will
Give you everything you need and someday
Start a family with you
Yes I will
Take your hand and walk with you
Yes I will
Baby, I promise you
Yes I will
Give you everything you need and someday
Start a family with you
Oh yeah, yes I will

This is no ordinary love
And I can never have enough
Of all the things you've given to me
You're my heart, my soul, my everything
Every night, I thank you Lord
For giving me the strength to love her
More and more each day
I promise her as long as I hear those three words

Yes I will
Take your hand and walk with you
Yes I will
Say these three words that promise to
Yes I will
Give you everything you need and someday
Start a family with you
Yes I will
Take your hand and walk with you
Yes I will
Baby, I promise you
Yes I will
Give you everything you need and someday
Start a family with you
Oh yeah, yes I will

I stand beside you in everything you do
Wherever you go, whatever you do
Baby, I'll be there
As God is my witness, I will carry this through
""Till death do us part, I promise to you""

Yes I will
Take your hand and walk with you
Yes I will
Say these three words that promise to
Yes I will
Give you everything you need and someday
Start a family with you
Yes I will
Take your hand and walk with you
Yes I will
Baby, I promise you
Yes I will
Give you everything you need and someday
Start a family with you
Oh yeah, yes I will

I promise you that
Everthings gonna be all right
It's gonna be all right
I, I, I, I...
I will...",29.8,1.4,68.8,99.87
47,47,Black & Blue,Studio albums,2000-11-21 00:00:00,It's True,04:13:00,"Even the lovers makes a mistake sometimes
Like any other
Fall out and lose his mind
And I'm sorry for the things I did
For your teardrops over words I said
Can you forgive me
And open your heart once again?

It's true
I mean it
From the bottom of my heart
Yeah, it's true
Without you I would fall apart

Whatever happened
I know that I was wrong, oh yes
Can you believe me
Maybe your faith is gone, but is it?
But I love you and I always will
So I wonder if you want me still
Can you forgive me
And open your heart once again, oh yeah

It's true
I mean it
From the bottom of my heart
Yeah, it's true
Without you I would fall apart

I'd do anything to make it up to you
So please understand
And open your heart once again

It's true
I mean it
From the bottom of my heart
Yeah it's true
Without you I would fall apart

It's true
I mean it
From the bottom of my heart
Yeah it' true
Without you I would fall apart

Oh...
Oh yeah...
It's true...",27.8,3.1,69.1,99.44
48,48,Black & Blue,Studio albums,2000-11-21 00:00:00,How Did I Fall in Love with You,04:04:00,"Remember when, we never needed each other
The best of friends like sister and brother
We understood we'd never be alone

Those days are gone 
Now I want you so much
The night is long and I need your touch
Don't know what to say
Never meant to feel this way
Don't wanna be alone tonight

What can I do to make you mine?
Fallen so hard, so fast this time
What did I say, what did you do?
How did I fall in love with you?

I hear your voice and I start to tremble
Brings back the child that I resemble
I cannot pretend that we can still be friends
Don't wanna be alone tonight

What can I do to make you mine?
Fallen so hard, so fast this time
What did I say, what did you do?
How did I fall in love with you?

Ooh, I wanna say this right
And it has to be tonight
Just need you to know, oh yeah
I don't wanna live this life
I don't wanna say goodbye
If you love won't nothing
The rest of our lives

What can I do to make you mine?
Fallen so hard, so fast this time
What did I say, what did you do?
How did I fall in love with you?

What can I do to make you mine?
Fallen so hard, so fast this time
Everything's changed, we never knew
How did I fall in love with you?",16.8,7.3,75.9,98.05
49,49,Never Gone,Studio albums,2005-06-14 00:00:00,Incomplete,03:59:00,"Empty spaces fill me up with holes
Distant faces with no place left to go
Without you, within me, I can't find no rest
Where I'm going is anybody's guess

I've tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you, all I'm going to be is incomplete

Voices tell me I should carry on
But I am swimming in an ocean all alone
Baby, my baby, it's written on your face
You still wonder if we made a big mistake

I've tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you, all I'm going to be is incomplete

I don't mean to drag it on
But I can't seem to let you go
I don't wanna make you face this world alone
I wanna let you go (Alone, oh)

I've tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken (Heart to be unbroken)
But without you, all I'm going to be is incomplete
Incomplete",9,6,85,81.26
50,50,Never Gone,Studio albums,2005-06-14 00:00:00,Just Want You to Know,03:53:00,"Looking at your picture from when we first met
You gave me a smile that I could never forget
And nothing I could do
Could protect me from you that night

Wrapped around your finger, always on my mind
The days would blend 'cause we stayed up all night
Yeah, you and I were everything, everything to me

I just want you to know
That I've been fighting to let you go (oh)
Some days I make it through
And then there's nights that never end
I wish that I could believe
That there's a day you'll come back to me
But still I have to say (yeah)
I would do it all again
Just want you to know

All the doors are closing, I try to move ahead
And deep inside I wish it's me instead
My dreams are empty from the day
The day you slipped away

And I just want you to know ('cause I can't fight it)
That I've been fighting to let you go (oh)
Some days I make it through (and then there's)
And then there's nights that never end
I wish that I could believe
That there's a day you'll come back to me
But still I have to say (I have to say, I)
I would do it all again

I just want you to know
That I've been fighting to let you go
Some days I make it through
And then there's nights that never end
I wish that I could believe (yeah)
That there's a day you'll come back to me
But still I have to say (but still I have to say)
No, I would do it all again
Just want you to know",7.1,8.4,84.5,-83.08
