,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
30,142,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['The', 'clock', 'on', 'the', 'wall', 'it', 'reminds', 'me', 'of', 'all']",142,bsb,0.0,0.0
31,144,11,stress,stress,stress,stress,stress,stress,unstress,stress,unstress,stress,stress,missing,"['Im', 'not', 'the', 'one', 'you', 'really', 'wanted', 'be', 'to']",144,bsb,0.2,0.2
32,150,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,missing,stress,missing,"['Saying', 'there', 'no', 'way', 'that', 'we', 'can', 'work', '(We', 'can']",150,bsb,0.0,0.0
33,156,11,stress,stress,unstress,unstress,stress,stress,missing,stress,stress,unstress,unstress,missing,"['Im', 'saying', 'goodbye', 'to', 'you', '(Oh', 'Im', 'saying', 'goodbye']",156,bsb,0.0,0.0
34,171,11,stress,stress,unstress,unstress,stress,stress,missing,stress,unstress,unstress,stress,missing,"['Im', 'saying', 'goodbye', 'to', 'you', '(Im', 'saying', 'goodbye', 'to']",171,bsb,0.0,0.0
35,187,11,stress,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,"['And', 'you', 'never', 'showed', 'up', 'where', 'I', 'happened', 'to']",187,bsb,0.0,0.0
36,199,11,stress,stress,stress,stress,unstress,stress,unstress,stress,stress,stress,stress,missing,"['What', 'if', 'I', 'never', 'run', 'into', 'you', 'What', 'if']",199,bsb,0.0,0.0
37,206,11,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,"['Am', 'I', 'crazy', 'is', 'it', 'blonder', 'than', 'it', 'was']",206,bsb,-0.6,0.9
38,207,11,stress,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['It', 'funny', 'how', 'a', 'year', 'can', 'fill', 'your', 'head', 'with']",207,bsb,0.25,1.0
39,223,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,missing,"['Cause', 'babe', 'you', 'know', 'a', 'bottle', 'is', 'a', 'little']",223,bsb,-0.1875,0.5
40,231,11,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,missing,"['Now', 'Im', 'climbing', 'the', 'walls', 'cause', 'I', 'miss', '(I', 'miss)']",231,bsb,0.0,0.0
41,234,11,stress,stress,stress,stress,stress,stress,stress,missing,missing,stress,unstress,missing,"['Caught', 'by', 'the', 'taste', 'of', 'your', 'kiss', '(I', 'dont', 'wanna']",234,bsb,0.0,0.0
42,238,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['My', 'hands', 'and', 'knees', 'are', 'bruised', 'and', 'Im', 'crawling', 'back']",238,bsb,0.0,0.0
43,240,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,"['My', 'hands', 'and', 'knees', 'are', 'bruised', 'and', 'now', 'Im', 'crawling']",240,bsb,0.0,0.0
44,241,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['It', 'the', 'least', 'that', 'I', 'can', 'do', 'just', 'to', 'tell', 'you']",241,bsb,-0.3,0.4
45,245,11,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,unstress,missing,"['I', 'was', 'running', 'from', 'the', 'truth', 'now', 'Im', 'crawling']",245,bsb,0.0,0.0
46,247,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,"['I', 'was', 'lying', 'to', 'myself', 'now', 'Im', 'dying', 'in', 'this']",247,bsb,0.0,0.0
47,249,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['My', 'hands', 'and', 'knees', 'are', 'bruised', 'and', 'Im', 'crawling', 'back']",249,bsb,0.0,0.0
48,250,11,stress,stress,stress,stress,stress,stress,stress,missing,stress,stress,stress,missing,"['I', 'know', 'I', 'broke', 'your', 'heart', 'I', 'didnt', 'mean', 'to', 'break']",250,bsb,-0.3125,0.6875
49,251,11,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,unstress,missing,"['I', 'was', 'running', 'from', 'the', 'truth', 'now', 'Im', 'crawling']",251,bsb,0.0,0.0
50,253,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Girl', 'I', 'know', 'you', 'mad', 'I', 'cant', 'blame', 'you', 'for', 'being']",253,bsb,-0.625,1.0
51,267,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Baby', 'wont', 'you', 'tell', 'me', 'what', 'to', 'do', 'to', 'make']",267,bsb,0.0,0.0
52,277,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Baby', 'wont', 'you', 'tell', 'me', 'what', 'to', 'do', 'to', 'make']",277,bsb,0.0,0.0
53,279,11,stress,missing,stress,unstress,stress,unstress,stress,stress,stress,stress,stress,missing,"['Cause', 'Ive', 'only', 'ever', 'known', 'the', 'kind', 'of', 'love']",279,bsb,0.3666666666666667,0.8333333333333334
54,280,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['Im', 'not', 'that', 'kind', 'of', 'person', 'who', 'can', 'fall', 'in']",280,bsb,0.6,0.9
55,283,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['Just', 'forgive', 'me', 'if', 'Im', 'being', 'too', 'open', 'no']",283,bsb,0.0,0.5
56,286,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['Im', 'not', 'that', 'kind', 'of', 'person', 'who', 'can', 'fall', 'in']",286,bsb,0.6,0.9
57,287,11,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,"['Does', 'it', 'make', 'you', 'wanna', 'pick', 'up', 'all', 'your', 'things']",287,bsb,0.0,0.0
58,288,11,stress,stress,stress,unstress,stress,stress,stress,stress,unstress,stress,stress,missing,"['It', 'the', 'only', 'one', 'it', 'the', 'only', 'one', 'I']",288,bsb,0.0,1.0
59,291,11,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,unstress,stress,missing,"['So', 'forgive', 'me', 'for', 'my', 'mixed', 'emotions', 'yeah']",291,bsb,0.0,0.25
60,292,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['Im', 'not', 'that', 'kind', 'of', 'person', 'who', 'can', 'fall', 'in']",292,bsb,0.6,0.9
61,293,11,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['Im', 'not', 'that', 'kind', 'of', 'person', 'who', 'can', 'fall', 'in']",293,bsb,0.6,0.9
62,304,11,stress,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['I', 'never', 'thought', 'that', 'I', 'would', 'lose', 'my', 'mind', 'That']",304,bsb,0.0,0.0
63,311,11,missing,missing,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['Dont', 'dont', 'want', 'you', 'back', 'You', 'hit', 'me', 'faster', 'than']",311,bsb,0.0,0.0
64,320,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,"['But', 'I', 'was', 'blind', 'and', 'so', 'I', 'lost', 'all', 'common']",320,bsb,-0.4,0.5833333333333333
65,342,11,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,"['Got', 'a', 'question', 'for', 'you', 'better', 'answer', 'now']",342,bsb,0.5,0.5
66,363,11,stress,stress,stress,stress,unstress,stress,unstress,stress,stress,stress,unstress,missing,"['But', 'here', 'we', 'stand', 'together', 'and', 'were', 'millions']",363,bsb,0.0,0.0
67,370,11,missing,stress,stress,stress,stress,stress,unstress,stress,stress,unstress,stress,missing,"['Weve', 'been', 'through', 'days', 'of', 'thunder', 'Some', 'people', 'said']",370,bsb,0.0,0.0
68,375,11,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,stress,missing,"['Whatever', 'comes', 'around', 'well', 'always', 'stay', 'the']",375,bsb,0.0,0.0
69,385,11,stress,unstress,unstress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['Walking', 'along', 'the', 'sky', 'Chasing', 'a', 'glimpse', 'of']",385,bsb,0.0,0.0
70,386,11,stress,unstress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,missing,"['Painting', 'a', 'world', 'with', 'stars', 'I', 'found', 'inside', 'your']",386,bsb,0.0,0.0
71,390,11,stress,unstress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Wondering', 'what', 'it', 'would', 'be', 'like', 'if', 'you', 'were']",390,bsb,0.0,0.0
72,422,11,stress,stress,stress,stress,stress,unstress,unstress,stress,stress,unstress,stress,missing,"['Was', 'it', 'all', 'the', 'promises', 'of', 'diamonds', 'pearls']",422,bsb,0.0,0.0
73,423,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,stress,missing,"['I', 'know', 'that', 'you', 'are', 'the', 'one', 'for', 'me', '(one', 'for']",423,bsb,0.0,0.0
74,424,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,stress,missing,"['I', 'know', 'that', 'you', 'are', 'the', 'one', 'for', 'me', '(one', 'for']",424,bsb,0.0,0.0
75,427,11,stress,stress,stress,stress,stress,stress,stress,stress,unstress,unstress,stress,missing,"['You', 'the', 'one', 'for', 'me', 'You', 'my', 'ecstasy', 'You']",427,bsb,0.0,0.0
76,434,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,stress,missing,"['I', 'know', 'that', 'you', 'are', 'the', 'one', 'for', 'me', '(one', 'for']",434,bsb,0.0,0.0
77,436,11,stress,stress,stress,unstress,stress,stress,stress,missing,stress,stress,stress,missing,"['But', 'Im', 'helpless', 'when', 'she', 'smiles', '(oh', 'when', 'she', 'smiles']",436,bsb,0.0,0.0
78,442,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,"['She', 'cuts', 'me', 'and', 'the', 'pain', 'is', 'all', 'I', 'wanna']",442,bsb,0.0,0.0
79,447,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,"['She', 'keeps', 'the', 'secrets', 'in', 'her', 'eyes', 'She', 'wraps', 'the']",447,bsb,0.0,0.0
80,450,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,"['She', 'cuts', 'me', 'and', 'the', 'pain', 'is', 'all', 'I', 'wanna']",450,bsb,0.0,0.0
81,454,11,stress,stress,stress,unstress,stress,stress,stress,missing,stress,stress,stress,missing,"['But', 'Im', 'helpless', 'when', 'she', 'smiles', '(oh', 'when', 'she', 'smiles']",454,bsb,0.0,0.0
82,455,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,"['She', 'cuts', 'me', 'and', 'the', 'pain', 'is', 'all', 'I', 'wanna']",455,bsb,0.0,0.0
83,462,11,stress,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,missing,"['Are', 'you', 'lost', 'in', 'lost', 'inside', 'of', 'lost', 'inside']",462,bsb,0.0,0.0
84,464,11,stress,missing,missing,stress,stress,missing,stress,stress,stress,stress,stress,missing,"['Ah', 'Backstreet', 'Yes', 'yes', 'yall', 'One', 'time', 'here', 'we', 'go']",464,bsb,0.0,0.0
85,494,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Open', 'up', 'your', 'heart', 'to', 'me', 'It', 'say', 'what', 'on']",494,bsb,0.0,0.5
86,504,11,missing,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['(I', 'love', 'you', 'I', 'love', 'you', 'I', 'love', 'you', 'I', 'love']",504,bsb,0.5,0.6
87,508,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,unstress,stress,missing,"['It', 'in', 'the', 'silences', 'The', 'words', 'you', 'never', 'say']",508,bsb,0.0,0.0
88,514,11,stress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,missing,"['But', 'late', 'at', 'night', 'I', 'feel', 'the', 'tremble', 'in', 'your']",514,bsb,-0.3,0.6
89,517,11,stress,stress,stress,unstress,stress,stress,missing,stress,stress,unstress,stress,missing,"['Like', 'Im', 'right', 'beside', 'you', '(like', 'Im', 'right', 'beside']",517,bsb,0.2857142857142857,0.5357142857142857
90,524,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Who', 'are', 'you', 'now', 'Are', 'you', 'still', 'the', 'same', 'Or', 'did']",524,bsb,0.0,0.125
91,527,11,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,stress,missing,"['I', 'wanna', 'be', 'with', 'you', 'It', 'crazy', 'but', 'it']",527,bsb,-0.6,0.9
92,528,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,unstress,stress,missing,"['Yeah', 'You', 'are', 'my', 'fire', 'The', 'one', 'desire', 'Believe']",528,bsb,0.0,0.0
93,537,11,stress,unstress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['Baby', 'I', 'know', 'you', 'hurting', 'Right', 'now', 'you', 'feel']",537,bsb,0.2857142857142857,0.5357142857142857
94,538,11,stress,unstress,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,"['Baby', 'I', 'know', 'you', 'hurting', 'Right', 'now', 'you', 'feel']",538,bsb,0.2857142857142857,0.5357142857142857
95,573,11,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,stress,missing,"['So', 'Im', 'begging', 'you', 'please', 'bring', 'your', 'sweet', 'love', 'back']",573,bsb,0.2833333333333333,0.4166666666666667
96,595,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['If', 'you', 'want', 'it', 'to', 'be', 'good', 'girl', 'Get', 'yourself']",595,bsb,0.7,0.6000000000000001
97,598,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['In', 'a', 'time', 'like', 'this', 'where', 'nothing', 'comes', 'from', 'the']",598,bsb,0.0,0.0
98,604,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['In', 'a', 'time', 'like', 'this', 'where', 'nothing', 'comes', 'from', 'the']",604,bsb,0.0,0.0
99,606,11,missing,stress,stress,stress,stress,unstress,stress,stress,unstress,stress,stress,missing,"['Youve', 'got', 'me', 'wide', 'open', 'wide', 'open', 'Now', 'Im']",606,bsb,-0.05,0.45
100,613,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['In', 'a', 'time', 'like', 'this', 'where', 'nothing', 'comes', 'from', 'the']",613,bsb,0.0,0.0
101,618,11,stress,unstress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,"['Empty', 'spaces', 'fill', 'me', 'up', 'with', 'holes', 'Distant', 'faces']",618,bsb,-0.1,0.425
102,637,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,unstress,missing,missing,"['I', 'pray', 'for', 'this', 'heart', 'to', 'be', 'unbroken', '(Heart']",637,bsb,0.0,0.0
